scenario_id,t,firm_id,Y_new,psi_eff,theta,queue_len,congestion_idx,mean_latency,p95_latency,max_latency,std_latency,triage_eff,omega_spill,market_share
ecb-moat-duopoly,42,0,1.6368446924910156,0.07579775288705565,0.0005327747946419076,20,0.1319638378903541,,,,,,0.0,0.5
ecb-moat-duopoly,42,1,1.6368446924910156,0.07579775288705565,0.0005327747946419076,30,0.1319638378903541,,,,,1.0,0.0,0.5
ecb-moat-duopoly,43,0,1.6270092250493433,0.07532100198192547,0.0005028877907116501,20,0.12527078608466777,30.0,30.0,30.0,0.0,0.5,0.0,0.5
ecb-moat-duopoly,43,1,1.6270092250493433,0.07532100198192547,0.0005028877907116501,30,0.12527078608466777,,,,,,0.0,0.5
ecb-moat-duopoly,44,0,1.6177263922692706,0.07487122466458092,0.0004746667444248235,21,0.11891768461806992,,,,,0.5,0.0,0.5
ecb-moat-duopoly,44,1,1.6177263922692706,0.07487122466458092,0.0004746667444248235,30,0.11891768461806992,,,,,,0.0,0.5
ecb-moat-duopoly,45,0,1.6089626673294164,0.07444676554879197,0.0004480221564769711,22,0.11288729986470455,,,,,1.0,0.0,0.5
ecb-moat-duopoly,45,1,1.6089626673294164,0.07444676554879197,0.0004480221564769711,30,0.11288729986470455,,,,,,0.0,0.5
ecb-moat-duopoly,46,0,1.6006867916926144,0.0740460831608655,0.00042286881968704786,21,0.1071632624373729,31.0,31.0,31.0,0.0,,0.0,0.5
ecb-moat-duopoly,46,1,1.6006867916926144,0.0740460831608655,0.00042286881968704786,31,0.1071632624373729,,,,,1.0,0.0,0.5
ecb-moat-duopoly,47,0,1.5928696000586147,0.0736677409570371,0.0003991256838780414,23,0.10173002530002143,,,,,0.6666666666666666,0.0,0.5
ecb-moat-duopoly,47,1,1.5928696000586147,0.0736677409570371,0.0003991256838780414,32,0.10173002530002143,,,,,1.0,0.0,0.5
ecb-moat-duopoly,48,0,1.5854838607302009,0.07331039915134406,0.00037671571460569744,24,0.09657282371299034,,,,,0.5,0.0,0.5
ecb-moat-duopoly,48,1,1.5854838607302009,0.07331039915134406,0.00037671571460569744,33,0.09657282371299034,,,,,1.0,0.0,0.5
ecb-moat-duopoly,49,0,1.5785041298738371,0.07297280727197852,0.00035556574777191873,25,0.09167763695762549,,,,,1.0,0.0,0.5
ecb-moat-duopoly,49,1,1.5785041298738371,0.07297280727197852,0.00035556574777191873,33,0.09167763695762549,45.0,45.0,45.0,0.0,1.0,0.0,0.5
shared-pool-industry,0,0,2.910392078974967,0.1412089076166306,0.00244861235499489,1,2.6400000000000006,,,,,1.0,0.0,0.3333333333333333
shared-pool-industry,0,1,2.910392078974967,0.1412089076166306,0.00244861235499489,0,2.6400000000000006,,,,,,0.0,0.3333333333333333
shared-pool-industry,0,2,2.910392078974967,0.1412089076166306,0.00244861235499489,1,2.6400000000000006,,,,,1.0,0.0,0.3333333333333333
shared-pool-industry,1,0,2.8129564588808025,0.13615124221243896,0.0023721482633319584,2,2.5114889077341482,,,,,1.0,0.0,0.3333333333333333
shared-pool-industry,1,1,2.8129564588808025,0.13615124221243896,0.0023721482633319584,0,2.5114889077341482,,,,,,0.0,0.3333333333333333
shared-pool-industry,1,2,2.8129564588808025,0.13615124221243896,0.0023721482633319584,2,2.5114889077341482,,,,,1.0,0.0,0.3333333333333333
shared-pool-industry,2,0,2.7229514558294734,0.13149574139510586,0.00229342944668731,3,2.388888762866295,,,,,0.5,0.0,0.33333333333333337
shared-pool-industry,2,1,2.7229514558294734,0.13149574139510586,0.00229342944668731,0,2.388888762866295,,,,,,0.0,0.33333333333333337
shared-pool-industry,2,2,2.7229514558294734,0.13149574139510586,0.00229342944668731,3,2.388888762866295,,,,,1.0,0.0,0.33333333333333337
shared-pool-industry,3,0,2.63972666834601,0.1272051742506686,0.0022133079479558938,4,2.2719739079052386,,,,,1.0,0.0,0.3333333333333333
shared-pool-industry,3,1,2.63972666834601,0.1272051742506686,0.0022133079479558938,0,2.2719739079052386,,,,,,0.0,0.3333333333333333
shared-pool-industry,3,2,2.63972666834601,0.1272051742506686,0.0022133079479558938,4,2.2719739079052386,,,,,1.0,0.0,0.3333333333333333
shared-pool-industry,4,0,2.562694264877096,0.12324616781626471,0.00213250628883182,4,2.1605205728273473,,,,,,0.0,0.3333333333333333
shared-pool-industry,4,1,2.562694264877096,0.12324616781626471,0.00213250628883182,1,2.1605205728273473,,,,,1.0,0.0,0.3333333333333333
shared-pool-industry,4,2,2.562694264877096,0.12324616781626471,0.00213250628883182,4,2.1605205728273473,4.0,4.0,4.0,0.0,1.0,0.0,0.3333333333333333
shared-pool-industry,5,0,2.491322878079176,0.11958878650078375,0.0020516340057610883,3,2.0543080704188297,5.0,5.0,5.0,0.0,,0.0,0.3333333333333333
shared-pool-industry,5,1,2.491322878079176,0.11958878650078375,0.0020516340057610883,1,2.0543080704188297,1.0,1.0,1.0,0.0,0.5,0.0,0.3333333333333333
shared-pool-industry,5,2,2.491322878079176,0.11958878650078375,0.0020516340057610883,4,2.0543080704188297,,,,,,0.0,0.3333333333333333
shared-pool-industry,6,0,2.425132008909833,0.11620615539107251,0.0019712022195764937,3,1.9531197491399148,,,,,,0.0,0.3333333333333333
shared-pool-industry,6,1,2.425132008909833,0.11620615539107251,0.0019712022195764937,2,1.9531197491399148,,,,,1.0,0.0,0.3333333333333333
shared-pool-industry,6,2,2.425132008909833,0.11620615539107251,0.0019712022195764937,3,1.9531197491399148,5.0,5.0,5.0,0.0,,0.0,0.3333333333333333
shared-pool-industry,7,0,2.363686930600837,0.11307412407313498,0.001891636457080637,3,1.8567437422024755,,,,,,0.0,0.3333333333333333
shared-pool-industry,7,1,2.363686930600837,0.11307412407313498,0.001891636457080637,2,1.8567437422024755,,,,,,0.0,0.3333333333333333
shared-pool-industry,7,2,2.363686930600837,0.11307412407313498,0.001891636457080637,3,1.8567437422024755,,,,,,0.0,0.3333333333333333
